col,Original,Random #1,Random #2,Random #3,Random #4,Random #5
0,-0.002201858419691693,-0.0022018584196916925,-0.0022018584196916925,-0.002201858419691693,-0.0022018584196916934,-0.0022018584196916934
1,-0.3811164269827457,-0.0438194489223027,-0.18668370930815434,-0.10604182217820696,-0.21976635887722784,-0.08628956466155753
2,-0.0459493356813407,-0.04594933568134069,-0.04594933568134072,-0.04594933568134074,-0.04594933568134072,-0.045949335681340735
3,0.012715607613984964,0.012715607613984967,0.012715607613984964,0.012715607613984966,0.012715607613984964,0.012715607613984966
4,0.012488667552014047,0.012488667552014047,0.012488667552014047,0.012488667552014047,0.012488667552014047,0.012488667552014047
5,0.004281472073958956,0.004281472073958956,0.004281472073958957,0.004281472073958956,0.004281472073958956,0.004281472073958957
6,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.04442901144076869,-0.04442901144076857,-0.04442901144076852,-0.0444290114407686,-0.04442901144076866,-0.04442901144076853
8,-0.04253123072102507,-0.04253123072102525,-0.04253123072102513,-0.042531230721025076,-0.042531230721025125,-0.042531230721025305
9,-0.027712030465203204,-0.027712030465203204,-0.027712030465203204,-0.027712030465203204,-0.027712030465203204,-0.027712030465203204
10,,-0.33729697806044295,-0.19443271767458672,-0.2750746048045439,-0.16135006810551375,-0.29482686232118777
